                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7562,                 3.5942,                 2.2237,                0.02185,                0.51754,                0.01665,                0.00527,                 2.5558,                  3.384,                  2.474,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.6931,                 3.6111,                  2.241,                0.02148,                0.50877,                0.01668,                0.00534,                 2.5755,                 3.3551,                 2.4786,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 2.7437,                 3.6671,                 2.2107,                0.02074,                0.49123,                0.01726,                0.00544,                 2.5987,                 3.3254,                 2.4731,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 2.4554,                 2.9303,                 2.0297,                0.39664,                0.62856,                0.41952,                0.16132,                 1.9107,                 3.3596,                   1.93,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.8634,                 1.7405,                 1.5743,                 0.6253,                0.78947,                0.69775,                0.29847,                 1.8186,                 2.2065,                 1.8068,             0.00016574,             0.00016574,             0.00016574
                      6,                 1.8016,                 1.5233,                 1.5293,                0.83821,                0.81807,                0.85539,                0.41251,                  1.751,                 1.6069,                 1.6029,             0.00019822,             0.00019822,             0.00019822
                      7,                 1.6503,                 1.2325,                 1.4682,                0.83555,                0.84681,                0.90838,                 0.4368,                   1.71,                 2.3992,                 1.6466,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.5834,                 1.0413,                 1.3864,                   0.83,                0.83333,                0.85783,                0.43821,                 1.6393,                 1.4935,                   1.54,             0.00025842,             0.00025842,             0.00025842
                      9,                 1.5329,                 0.9675,                 1.3416,                 0.8141,                0.88353,                0.86112,                0.45707,                 1.6097,                 1.3853,                 1.4961,             0.00028614,             0.00028614,             0.00028614
                     10,                 1.5664,                0.91399,                   1.29,                0.85049,                0.94809,                0.91978,                0.47877,                 1.5641,                 1.4615,                  1.486,             0.00031228,             0.00031228,             0.00031228
